開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1989/11/19,2福島8,曇,12,4歳以上400万下,,芝1800,14,良,1:53.0,36.6-38.1,トウカイハマナス,西園正都,[西]松元省一,ハギノビビッド,サドンハーレー,3:３歳以上,650.0
1989/11/19,5東京6,晴,1,3歳400万下,,ダ1400,5,稍,1:27.7,37.5-37.4,サクラヒラメキ,木藤隆行,[東]久恒久夫,アタックホープ,ブライダルハート,1:２歳,610.0
1989/11/19,5東京6,晴,2,3歳新馬,,芝1400,7,良,1:25.4,37.1-36.0,ソブリンドリーム,柴田政人,[東]稗田研二,サイレンティ,ビュウティーマイン,1:２歳,540.0
1989/11/19,5東京6,晴,3,3歳新馬,,芝1600,7,良,1:37.4,36.3-36.8,メグロクラマ,木藤隆行,[東]境勝太郎,ウィナーズゴールド,クリトドバン,1:２歳,540.0
1989/11/19,5東京6,晴,4,3歳未勝利,,ダ1400,9,稍,1:27.5,35.7-39.4,タンザーナイト,武藤善則,[東]黒坂洋基,リキサンシルバー,ヘイセイアラシ,1:２歳,450.0
1989/11/19,5東京6,晴,5,3歳未勝利,,芝1800,9,良,1:50.9,37.5-36.3,マイネルハイル,柴田政人,[東]稗田研二,アシヤビート,マコトホース,1:２歳,450.0
1989/11/19,5東京6,晴,6,障害4歳以上400万下,,障3300,8,良,3:47.2,108.0-0.0,ゴールデンミスト,臼井武,[東]笹倉武久,イシノバロン,オキノトウリュウ,3:３歳以上,990.0
1989/11/19,5東京6,晴,7,4歳以上400万下,,ダ1600,8,稍,1:39.7,36.6-38.3,シルバーバック,安田富男,[東]佐々木亜,オシバナ,ブロンズスター,3:３歳以上,650.0
1989/11/19,5東京6,晴,8,4歳以上900万下,,芝1800,13,良,1:48.4,36.2-36.6,ビンゴフット,小野次郎,[東]嶋田功,アンソニー,ライズインサン,3:３歳以上,870.0
1989/11/19,5東京6,晴,9,芦ノ湖特別(400万下),,芝1600,14,良,1:38.1,38.3-35.2,ジョウヨーファスト,安田富男,[東]久保田敏,クラシックブリッジ,マツクツービート,3:３歳以上,870.0
1989/11/19,5東京6,晴,10,津久井湖特別(900万下),,ダ1200,10,稍,1:12.9,35.8-37.1,ドリームガバナー,中舘英二,[東]境征勝,タフネスダンディ,クニスパーク,3:３歳以上,1170.0
1989/11/19,5東京6,晴,11,アルゼンチン共和国杯(G2),,芝2500,12,良,2:33.5,31.0-35.9,クリロータリー,郷原洋行,[東]吉野勇,ローランシンガー,メジロバークレイ,3:３歳以上,4700.0
1989/11/19,5東京6,晴,12,4歳以上400万下,,ダ1600,9,稍,1:38.3,36.8-37.5,トチノノーザリー,蛯沢誠治,[東]栗田博憲,ホゲットミーノット,スイープザボード,3:３歳以上,650.0
1989/11/19,5京都6,晴,1,3歳OP,,ダ1800,5,良,1:57.4,38.3-40.1,ヨドノチカラ,溝橋秀吉,[西]浜田光正,センショウクラウン,トキノテンユウ,1:２歳,430.0
1989/11/19,5京都6,晴,2,3歳未勝利,,芝1200,11,良,1:11.1,36.3-34.8,トーアマジッシャン,斉藤博美,[西]斉藤義美,トクノエース,ヤマノタイカイ,1:２歳,450.0
1989/11/19,5京都6,晴,3,3歳未勝利,,芝1400,13,良,1:25.0,36.7-35.9,ジャストアハード,柴田善臣,[西]坪憲章,ヤングヒーロー,アールヌーボー,1:２歳,450.0
1989/11/19,5京都6,晴,4,3歳新馬,,芝1600,16,良,1:38.0,35.8-37.5,サイキョウヒサユキ,田原成貴,[西]坂口正大,ゴッドインター,ダイカツミノル,1:２歳,540.0
1989/11/19,5京都6,晴,5,4歳以上400万下,,ダ1400,16,良,1:25.7,35.9-37.8,トーワフジ,小島貞博,[西]佐山優,サンラブホーラー,キタシバシンゲン,3:３歳以上,650.0
1989/11/19,5京都6,晴,6,4歳以上400万下,,芝2400,13,良,2:30.9,36.9-35.6,スリーエースコバン,武豊,[西]小林稔,ドクターシャトル,ホクセツアンナ,3:３歳以上,650.0
1989/11/19,5京都6,晴,7,4歳以上900万下,,芝2000,12,良,2:03.1,36.5-37.4,バンダムテスコ,小池隆生,[西]湯浅三郎,オートランアラナス,ミスターヤマノ,3:３歳以上,870.0
