開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1978/01/14,1京都4,晴,8,5歳以上300万下,,ダ1200,8,良,1:14.1,,ダイフジマル,飯田明弘,中村好夫,メトロアロー,オカノスター,4:４歳以上,420.0
1978/01/14,1京都4,晴,9,若水特別(1000万下),,芝1600,14,稍,1:36.6,,キンセンタタン,坂口正則,坂口正二,ファインクローバー,カネアタゴ,4:４歳以上,860.0
1978/01/14,1京都4,晴,10,睦月賞(600万下),,ダ1900,13,良,1:59.3,,エバートホース,福永洋一,佐藤勇,キューティチェリー,アメリカンライト,4:４歳以上,730.0
1978/01/14,1京都4,晴,11,5歳以上600万下,,ダ1800,10,良,1:53.3,,コウエイキング,外枦保重秋,二分久男,エイコーチャイナ,スターネルソン,4:４歳以上,540.0
1978/01/08,1東京3,曇,1,4歳未勝利,,ダ1400,16,重,1:27.3,,インターシルビア,鎌田祐一,小西喜蔵,バンロビン,マーガレットシチー,2:３歳,270.0
1978/01/08,1東京3,曇,2,4歳未勝利,,ダ1700,14,重,1:47.0,,トウショウデビル,池上昌弘,保田隆芳,ササキハンサム,ビップタカシ,2:３歳,270.0
1978/01/08,1東京3,曇,3,4歳未勝利,,ダ1600,14,重,1:40.2,,フリートボーイ,岡部幸雄,鈴木清,ヒダムーン,コーウンセイカン,2:３歳,270.0
1978/01/08,1東京3,曇,4,5歳以上300万下,,ダ1700,17,重,1:45.3,,ウエスタンレッド,大崎昭一,柴田寛,センショウクイン,ピューマターフ,4:４歳以上,420.0
1978/01/08,1東京3,曇,5,5歳以上未勝利,,障2820,9,重,3:10.1,,タイフウオー,平井雄二,久保田彦之,カツフアーム,アサナミジョウ,4:４歳以上,600.0
1978/01/08,1東京3,曇,6,4歳新馬,,ダ1400,18,重,1:27.2,,アマミボーイ,増沢末夫,佐藤正二,ハードミドリ,チヨダフジ,2:３歳,330.0
1978/01/08,1東京3,曇,7,福寿草特別(300万下),,ダ1600,8,重,1:39.2,,ブルーパシフィック,町屋幸二,藤本冨良,マイエルフ,ジェラルレッド,2:３歳,520.0
1978/01/08,1東京3,曇,8,5歳以上600万下,,ダ1600,14,稍,1:39.2,,ウインアピール,郷原洋行,稗田敏男,トウワエイメント,メリセデス,4:４歳以上,540.0
1978/01/08,1東京3,曇,9,ニューイヤーステーク(1400万下),,ダ1400,8,稍,1:24.3,,メジロサガミ,横山富雄,八木沢勝美,トウショウゲート,シービークイン,4:４歳以上,1000.0
1978/01/08,1東京3,曇,10,門松賞(600万下),,ダ2100,13,稍,2:11.1,,キリータイフウ,嶋田功,佐々木猛,ニシマルクイン,キクアサジロウ,4:４歳以上,730.0
1978/01/08,1東京3,曇,11,5歳以上1000万下,,ダ1700,13,稍,1:44.0,,コウチライデン,津留千彰,古賀嘉蔵,トキツリュウ,ミホライデン,4:４歳以上,700.0
1978/01/08,1京都3,曇,1,4歳未勝利,,ダ1700,12,稍,1:53.9,,ラガーウイング,池添兼雄,大久保正陽,チェリードルマン,トライジョオー,2:３歳,200.0
1978/01/08,1京都3,曇,2,4歳未勝利,,ダ1200,14,稍,1:13.8,,カネシグマ,河内洋,内藤繁春,マルブツウイナー,ブラックマスク,2:３歳,270.0
1978/01/08,1京都3,曇,3,4歳未勝利,,ダ1400,12,稍,1:27.8,,ビゼンモモタロー,目野哲也,梶与三男,ダンケイ,シュウエイルーラー,2:３歳,270.0
1978/01/08,1京都3,雨,4,4歳300万下,,ダ1200,13,稍,1:13.2,,トウシンサフラン,押田年郎,坂口正大,ヤマタツオー,オーゴンハッピー,2:３歳,400.0
1978/01/08,1京都3,曇,5,5歳以上未勝利,,障2890,12,稍,3:16.2,,ケイシュウニホン,久保田敏彦,柳田次男,アウンロック,ホワイトカイウン,4:４歳以上,600.0
